patients_per_clinic_block,num_med_techs,num_rooms,num_rooms_per_provider,num_physicians,vitals_time_mean,vitals_time_cv2,exam_time_mean,exam_time_cv2,post_exam_time_mean,post_exam_time_cv2,room_turnover_time_mean,room_turnover_time_cv2,off_util_staff,off_util_physician,off_util_room,staff_eff_ia_time_mean,staff_eff_svc_time_mean,staff_eff_svc_time_cv2,exam_eff_ia_time_mean,exam_eff_svc_time_mean,exam_eff_svc_time_cv2,mean_wait_i_dm1,mean_wait_p_dm1,mean_wait_r_dm1,mean_wait_rp_dm1,mean_wait_i,mean_wait_r,mean_wait_p,mean_wait_rp,mean_time_in_system,mean_eod
28,2,2,1,2,9,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.7875,1.1666666666666667,1.4291666666666667,17.142857142857142,13.5,0.4667362946679891,17.142857142857142,77.42482740401007,3.2996031694674763,11.739019742706434,41.185807661303635,167.91860991167624,209.10441757297988,0.3519099644279162,48.40266938036759,0.0,48.40266938036759,81.09696306118516,361.38176088058674
32,2,2,1,2,9,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.9,1.3333333333333333,1.6333333333333333,15.0,13.5,0.4667362946679891,15.0,98.55369415205143,3.7024637474377853,17.472756775305577,56.58093737674586,294.4959727556969,351.0769101324428,0.5768290350974093,75.714897804127,0.0,75.714897804127,108.95956326321586,418.1816559070948
32,2,2,1,2,12,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.1,0.6666666666666666,0.9666666666666667,15.0,16.5,0.45870431169349624,15.0,53.584148897626896,1.1046847229934926,33.40577013782637,5.678378759800523,108.32408828841847,114.00246704821899,4.426263314011713,29.7307640444486,0.0,29.7307640444486,62.86205543598769,306.7573113171859
36,2,2,1,2,12,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.2375,0.75,1.0875,13.333333333333334,16.5,0.45870431169349624,13.333333333333334,68.05915926419402,1.0533955045232695,45.293121317020656,8.266037947173363,200.65489062761526,208.92092857478863,9.786886979114774,62.19307147694396,0.0,62.19307147694396,102.4902884005834,365.3923423929444
40,2,2,1,2,12,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.375,0.8333333333333334,1.2083333333333333,12.0,16.5,0.45870431169349624,12.0,84.71101810467269,0.9944684591549195,58.57967509461487,11.631343010057819,321.03296118415903,332.66430419421687,16.690367397485534,97.30908005235756,0.0,97.30908005235756,145.34987130926515,420.9547352318265
44,2,2,1,2,12,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.5125,0.9166666666666666,1.3291666666666666,10.909090909090908,16.5,0.45870431169349624,10.909090909090908,103.27080311611304,0.9395545877738086,72.89499941342245,15.875803702690591,469.7875440790139,485.6633477817045,24.99837902416245,131.3057161241595,0.0,131.3057161241595,188.24559495619008,477.11166574483366
48,2,2,1,2,12,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.65,1.0,1.45,10.0,16.5,0.45870431169349624,10.0,123.47158734686276,0.8921490802435658,87.92492402209804,21.046663324764726,647.6527395242418,668.6994028490066,36.85090910005752,171.8414262642226,0.0,171.8414262642226,242.29410863921817,552.496058494674
24,2,2,1,2,12,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.825,0.75,0.975,20.0,16.5,0.45870431169349624,20.0,45.51401605032995,0.9896731132780248,15.139480480934102,10.874535569395848,40.3194874008607,51.19402297025655,0.7058705988524487,12.004054692322397,0.0,12.004054692322397,43.2699206637257,284.5545346154226
28,2,2,1,2,12,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.9625,0.875,1.1375,17.142857142857142,16.5,0.45870431169349624,17.142857142857142,59.76819644550841,0.9755229469872803,23.275046315337523,16.99315013017089,104.98662776248258,121.97977789265347,1.6026471939928444,31.766100465452023,0.0,31.766100465452023,64.87219684019591,314.987912897131
32,2,2,1,2,12,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,1.1,1.0,1.3,15.0,16.5,0.45870431169349624,15.0,77.76920042226826,1.0036382527521355,33.40577013782637,24.86343028444189,207.42490729484496,232.28833757928686,3.5970248553488617,58.350774390562776,0.0,58.350774390562776,94.6008974358942,369.6756978481852
36,2,2,1,2,12,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,1.2375,1.125,1.4625,13.333333333333334,16.5,0.45870431169349624,13.333333333333334,99.21147357670839,1.0120527140593385,45.293121317020656,34.41835225968773,346.9625010585658,381.3808533182535,8.659904017837087,93.51535924219,0.0,93.51535924219,136.55523329057235,436.0852211529029
40,2,2,1,2,12,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,1.375,1.25,1.625,12.0,16.5,0.45870431169349624,12.0,123.51630646793552,1.0067885273881525,58.57967509461487,45.43663137332065,523.8822395008801,569.3188708742008,14.728401440463294,129.88371459727193,0.0,129.88371459727193,179.6844151484601,501.9795745746719
16,2,2,1,2,12,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.55,0.6666666666666666,0.8166666666666667,30.0,16.5,0.45870431169349624,30.0,38.710365847988164,1.8995999879295693,4.747500893428009,9.462864954560157,8.447968680713307,17.910833635273463,0.1541852142740831,6.096373891123702,0.0,6.096373891123702,40.73126746851409,263.1704273017625
20,2,2,1,2,12,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.6875,0.8333333333333334,1.0208333333333333,24.0,16.5,0.45870431169349624,24.0,50.839979932996926,1.7739266239505096,9.02718613880431,17.31279379419262,35.31294096341384,52.62573475760645,0.2788253191846312,16.99833897992328,0.0,16.99833897992328,52.64994794895748,294.23934140697787
24,2,2,1,2,12,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.825,1.0,1.225,20.0,16.5,0.45870431169349624,20.0,67.58310701690044,1.7905108389388784,15.139480480934102,27.94362653596635,100.8798322412283,128.82345877719465,0.6764091784664019,31.48203322039184,0.0,31.48203322039184,67.38319735794207,319.8975644203688
28,2,2,1,2,12,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.9625,1.1666666666666667,1.4291666666666667,17.142857142857142,16.5,0.45870431169349624,17.142857142857142,88.96085397664116,1.9295801764004128,23.275046315337523,41.185807661303635,210.01088666300413,251.19669432430777,1.3300689918212976,63.072960586498205,0.0,63.072960586498205,101.65496570147802,389.9609877428894
